,Title,Event
0,TED-Ed: How to overcome your mistakes,TED-Ed
1,"Gabrielle Novacek: To support people at work, focus on needs — not identity",TED@BCG
2,Annie Rauwerda: The joy of learning random things on Wikipedia,TEDxUofM
3,Payton M. Wilkins: Unions for climate action!,TED Countdown Summit
4,Alex Soojung-Kim Pang: How rest can make you better at your job,The Way We Work
5,Shannon Odell: Does recycling your plastic actually work?,TED-Ed
6,"Aisha Nyandoro: What does ""wealth"" mean to you?",TEDWomen 2023
7,"Dasha Navalnaya: Lessons from my father, Alexey Navalny",TEDWomen 2023
8,"Sarah Kay: ""Miles from Any Shoreline""",TED2023
9,TED-Ed: 3 tips on how to study effectively,TED-Ed
10,Asmeret Asefaw Berhe: We actually have a shot at stopping the climate crisis,TED Countdown Summit
11,Piyachart Phiromswad: The tech we need to fight workplace ageism,TED2023
12,Ian Bremmer: The Israel-Hamas war — and what it means for the world,TED Studio
13,Nadia Frontier: Surviving the coldest place on Earth,TED-Ed
14,Krista Tippett: 3 practices for wisdom and wholeness,TED2023
15,Mark T. Rivera: 3 ways to better connect with your coworkers,The Way We Work
16,Nicos Marcou: Work has changed. Why haven't resumes?,TEDxBayonne
17,Amy Powney: How to fix fashion and protect the planet,TED Countdown Summit
18,Carolyn Beans: What would happen if everyone stopped eating meat tomorrow?,TED-Ed
19,Carlos Rodríguez-Pastor: How business can drive solutions to social problems,TED2023
20,Tavares Strachan: The Encyclopedia of Invisibility — a home for lost stories,TED2023
21,Douglas MacLean: Ethical dilemma: What makes life worth living?,TED-Ed
22,Jordan Dinwiddie: 10 lessons I learned from being a nerd,TEDxPortland
23,Shahar Erez: How to build a freelance career that works for you,The Way We Work
24,Jennifer D. Sciubba: The truth about human population decline,TED2023
25,Ramón Méndez Galain: This country runs on 98 percent renewable electricity,TED Countdown Summit
26,Gabriel Prieto: The conspiracy to take down the Inca empire,TED-Ed
27,Anna Greka: The world's rarest diseases — and how they impact everyone,TED2023
28,Robin Buckley: Why I gave my teenage daughter a vibrator,TEDxPortsmouth
29,Maria Elena De Obaldia: Do mosquitos actually bite some people more than others?,TED-Ed
30,Jennifer Doudna: CRISPR's next advance is bigger than you think,TED2023
31,Michelle R. Weise: 4 tips to future-proof your career,The Way We Work
32,Melissa Villaseñor: How I found myself -- by impersonating other people,TED2023
33,Hannah Ritchie: Are we the last generation -- or the first sustainable one?,TED2023
34,Carly Anne York: Want to know if you're pregnant? Use this frog,TED-Ed
35,Josephine Philips: The simple solution to fast fashion,TED Countdown Summit
36,Mar Hershenson: The secret to successfully pitching an idea,The Way We Work
37,Sims Witherspoon: Can AI help solve the climate crisis?,TED Countdown Summit
38,Allison Leigh: Why is this black square famous?,TED-Ed
39,Rebecca Collyer: How to supercharge renewables and energize the world,TED Countdown Summit
40,Kala Constantino: An economy powered by sun and wind -- it's almost here,TED Countdown Summit
41,Al Roker: An extreme weather report from America's weatherman,TED Countdown Summit
42,Antonio Machado-Allison: What happens when you fall into piranha-infested waters?,TED-Ed
43,Natalie Cargill: How to solve the world's biggest problems,TED2023
44,Changhua Wu: Can the US and China take on climate change together?,TED Countdown Summit
45,Becky Kennedy: The single most important parenting strategy,TED2023
46,Peter McIndoe: Birds aren't real? How a conspiracy takes flight,TED2023
47,TED-Ed: Can you change your sleep schedule?,TED-Ed
48,Gorick Ng: How to succeed in your new job,The Way We Work
49,Sarah Aviram: Does more freedom at work mean more fulfillment?,TEDxAliefStudio
50,K Allado-McDowell: Our creative relationship with AI is just beginning,TED2023
51,Dan Finkel: Can you solve the cursed dice riddle?,TED-Ed
52,Bob Wiltfong: How to take the BS out of business speak,TEDxVienna
53,"Emmanuel Acho: Why you should stop setting goals (yes, really)",TED2023
54,Shannon Odell: This is what happens when you hit the gas,TED-Ed
55,Amy Baxter: How to hack your brain when you're in pain,TED2023
56,"Karen Willcox: How ""digital twins"" could help us predict the future",TEDxUTAustin
57,TED-Ed: Why is it so hard to break a bad habit?,TED-Ed
58,Bilawal Sidhu: The AI-powered tools supercharging your imagination,TED2023
59,Mariela Pajuelo and Javier Antonio Quinones: The one thing stopping jellyfish from taking over,TED-Ed
60,Bo Cerup-Simonsen: Why rivals are working together to transform shipping,TED Countdown Summit
61,Morten Bo Christiansen: The first-ever cargo ship powered by green fuel,TED Countdown Summit
62,Virginia Santy: How to design workplaces & cities for women,TEDxMileHigh
63,"Yat Siu: The dream of digital ownership, powered by the metaverse",TED2023
64,"Stuart Kauffman: The ""adjacent possible"" -- and how it explains human innovation",TED2023
65,Kenny Coogan: Can alligators survive this apex predator?,TED-Ed
66,Refik Anadol: How AI art could enhance humanity's collective memory,TED2023
67,Ersin Han Ersin: What's it like to be a giant sequoia tree?,TED2023
68,"Carolyn Beans: Which is better for you: ""Real"" meat or ""fake"" meat?",TED-Ed
69,Olivia Breese: The molecular love story that could help power the world,TED Countdown Summit
70,Yvonne Newbold: How to meet your child's difficult behavior with compassion,TEDxNHS
71,"Albert Zink: A 5,300-year-old murder mystery",TED-Ed
72,Avinash Persaud: The climate crisis is expensive -- here's who should pay for it,TED Countdown Summit
73,Taylor Cassidy: Why real change is about more than just going viral,TEDxGeorgetown
74,Francis de los Reyes: How the water you flush becomes the water you drink,TED-Ed
75,Terry Moore: A mysterious design that appears across millennia,TED2023
76,Barbara F. Walter: Is the US headed towards another civil war?,TED2023
77,Coleman Hughes and Jamelle Bouie: Does color blindness perpetuate racism?,Open to Debate and TED
78,"Tolliver: ""Say What!"" / ""Nervous""",TED2023
79,Fabio Pacucci: Whoever builds something here will be rich beyond measure,TED-Ed
80,Sandersan Onie: How targeted ads might just save your life,TEDxSydney
81,Lindsay DeMarchi: What happens if you don't put your phone in airplane mode?,TED-Ed
82,"Eileen Isagon Skyers: In the age of AI art, what can originality look like?",TED2023
83,Andrei Adam: How to retain Gen Z talent,TEDxMcGill
84,Al Gore: What the fossil fuel industry doesn't want you to know,TED Countdown Summit
85,Michael Sheen: The magic of a creative career,TEDxSoho
86,Simon Stiell: Climate action is on the cusp of exponential growth,TED Countdown Summit
87,George Zaidan: Why your phone battery gets worse over time,TED-Ed
88,Lucas Rizzotto: Why I built my own time machine,TED2023
89,Misan Harriman: The power of an image -- and the mind behind it,TED2023
90,Beatrice K. Otto: How dangerous was it to be a jester?,TED-Ed
91,Vinu Daniel: The beauty of building with mud and trash,TED2023
92,Andrew Leland: Blindness isn't a tragic binary -- it's a rich spectrum,TED Studio
93,Coleman Hughes: A case for color blindness,TED2023
94,TED-Ed: How to enter flow state,TED-Ed
95,Steve Presley: Can global food companies make the shift to regenerative agriculture?,TED Countdown Summit
96,Garry Cooper: How to make sure materials get reused -- again and again,TED2023
97,Siska De Baerdemaeker: Science vs. Pseudoscience,TED-Ed
98,Maya Shankar: Why change is so scary -- and how to unlock its potential,TED2023
99,Wanjira Mathai: The tree-growing movement restoring Africa's vital landscapes,TED2023
100,Stephanie Honchell Smith: The merciless mercenaries of the Italian Renaissance,TED-Ed
101,David Lammy and Justin J. Pearson: How to be a leader for climate justice,TED Countdown Summit
102,George T. Whitesides: The growing megafire crisis -- and how to contain it,TED2023
103,Anneliese Mehnert: One of history's most dangerous myths,TED-Ed
104,Mark Mortensen: Is remote work better than being in the office? It's complicated,TEDxSydneySalon
105,Karen Bakker: Could an orca give a TED Talk?,TED2023
106,Nicole Rycroft: Why are we making pizza boxes out of endangered trees?,TED2023
107,Shannon Odell: What's happening to Earth's core?,TED-Ed
108,Anika Goss: Detroit's climate crisis -- and how to build a resilient future everywhere,TED Countdown Summit
109,Maxim Timchenko: The renewable energy revolution happening in Ukraine,TED Countdown Summit
110,Barbara J. King: Can other animals understand death?,TED-Ed
111,Eliezer Yudkowsky: Will superintelligent AI end the world?,TED2023
112,"Alexandr Wang: War, AI and the new global arms race",TED2023
113,Alex Budak: You don't have to be a CEO to be a leader,TEDxKI
114,Angeline Murimirwa: School is just the start. Here's how to help girls succeed for life,TED2023
115,Alua Arthur: Why thinking about death helps you live a better life,TED2023
116,Daniel Finkel: Can you solve the time traveling car riddle?,TED-Ed
117,Shane Campbell-Staton: How life on Earth adapts to you and me,TED2023
118,Johann Daniel Harnoss: How your company can gain a global talent advantage,TED@BCG
119,Jack Cooper and Catalina Pimiento: Why did Megalodon go extinct?,TED-Ed
120,Machine Dazzle: How to unleash your inner maximalist through costume,TED2023
121,Fabio Pacucci: The battle that formed the universe,TED-Ed
122,Jioji Ravulo: A liberating vision of identity that transcends labels,TEDxSydney
123,Rebecca Darwent: How to fund real change in your community,TED@DestinationCanada
124,Susanne Buckley-Zistel: What caused the Rwandan Genocide?,TED-Ed
125,Conor Russomanno: A powerful new neurotech tool for augmenting your mind,TED2023
126,Peter Singer: A modern argument for the rights of animals,TED Membership
127,"Sahar Zand: Why Iranians are cutting their hair for ""Woman, Life, Freedom""",TEDxLondonWomen
128,Shannon Odell: Are solar panels worth it?,TED-Ed
129,P. Seth Yelorda: Why you need help finding your dream job,TEDxClaremontGraduateUniversity
130,Angus Hervey: Why are we so bad at reporting good news?,TED2023
131,Sheryl Lee Ralph: A 3-step guide to believing in yourself,TED2023
132,Carolyn Harris: Why is Marie Antoinette so controversial?,TED-Ed
133,"Rainn Wilson: Kung Fu, Star Trek and the many paths to spirituality",TED Membership
134,Richard Reeves: How to solve the education crisis for boys and men,TED2023
135,Mena Fombo: No. You cannot touch my hair!,TEDxBristol
136,Iseult Gillespie: Who is the fastest creature in mythology?,TED-Ed
137,Cohen Bradley: How to weave a cultural legacy through storytelling,TED@DestinationCanada
138,Ian Bremmer: The next global superpower isn't who you think,TED2023
139,"Jessie Reyez: ""STILL C U"" / ""Figures""",TED2023
140,Susan G. Wardle: Seeing things that aren't there? It's pareidolia,TED-Ed
141,Mark Edwards: Why is it so hard to get effective birth control in the US?,TED2023
142,Michael Green: The natural building blocks of sustainable architecture,TED@DestinationCanada
143,Sally Frampton: What did people do before anesthesia?,TED-Ed
144,Tony Long: The outlaws of the ocean -- and how we're reeling them in,TED2023
145,"Lonneke Gordijn: Nature, art and magical blocks of flying concrete",TED2023
146,Carolyn Beans: Food expiration dates don't mean what you think,TED-Ed
147,Ali Hajimiri: How wireless energy from space could power everything,TED2023
148,"David M. Howard: Can we recreate the voice of a 3,000-year-old mummy?",TEDxVienna
149,Punya Mishra: How to design a school for the future,TED-Ed Educator Talks
150,Hanako Sawada: Test yourself: Can you tell the difference between music and noise?,TED-Ed
151,Julián Delgado Lopera: The poetry of everyday language,TEDxSoMa
152,Anne Morriss: 5 steps to fix any problem at work,TED2023
153,Sascha Morrell: Why is William Faulkner so difficult to read?,TED-Ed
154,Nita Farahany: Your right to mental privacy in the age of brain-sensing tech,TED2023
155,Martin Lockley: The dinosaur detectives of real-life Jurassic parks,TEDxMileHigh
156,Dan Finkel: Can you outsmart Fate and break her ancient curse?,TED-Ed
157,Normand Voyer: Are life-saving medicines hiding in the world's coldest places?,TED@DestinationCanada
158,Sixto Cancel: A foster care system where every child has a loving home,TED2023
159,George Zaidan: The epidemics that almost happened,TED-Ed
160,Gus Worland: Is someone you love suffering in silence? Here's what to do,TED2023
161,"Wangechi Mutu: The timeless, ancient language of art",TED2023
162,Reza Varzidehkar: How to build social capital,TEDxKerrisdale
163,Tom Graham: The incredible creativity of deepfakes -- and the worrying future of AI,TED2023
164,TED-Ed: Is it normal to talk to yourself?,TED-Ed
165,"Cecilia M. Orphan: What makes a ""good college"" -- and why it matters",TEDxMileHigh
166,Andy Dunn: Lessons from losing my mind,TED2023
167,David Biello: 1816: The year with no summer,TED-Ed
168,Veronica Chau: 3 ways your money can fight climate change,TED@BCG
169,Keyu Jin: What the world can learn from China's innovation playbook,TED2023
